number,year,kode,region,municipalities,total,urban,rural,,,
1,2014,7900000000,Республика Адыгея,Муниципальные образования Республики Адыгеи,446406,209929,236477,,,
2,2014,7970100000,Республика Адыгея,Городской округ 'Город Майкоп',167620,144544,23076,,,
3,2014,797010000011000,Республика Адыгея,г. Майкоп,144544,144544,0,,,
4,2014,7970300000,Республика Адыгея,Городской округ 'Город Адыгейск',14935,12481,2454,,,
5,2014,797030000011000,Республика Адыгея,г. Адыгейск,12481,12481,0,,,
6,2014,7960500000,Республика Адыгея,Гиагинский муниципальный район,31213,0,31213,,,
7,2014,7960540200,Республика Адыгея,Айрюмовское сельское поселение,3125,0,3125,,,
8,2014,7960540700,Республика Адыгея,Гиагинское сельское поселение,15444,0,15444,,,
9,2014,7960541000,Республика Адыгея,Дондуковское сельское поселение,6734,0,6734,,,
10,2014,7960541500,Республика Адыгея,Келермесское сельское поселение,2998,0,2998,,,
11,2014,7960542000,Республика Адыгея,Сергиевское сельское поселение,2912,0,2912,,,
12,2014,7961500000,Республика Адыгея,Кошехабльский муниципальный район,30180,0,30180,,,
13,2014,7961540400,Республика Адыгея,Блечепсинское сельское поселение,3077,0,3077,,,
14,2014,7961540800,Республика Адыгея,Вольненское сельское поселение,4182,0,4182,,,
15,2014,7961541200,Республика Адыгея,Дмитриевское сельское поселение,3682,0,3682,,,
16,2014,7961541500,Республика Адыгея,Егерухайское сельское поселение,1608,0,1608,,,
17,2014,7961541800,Республика Адыгея,Игнатьевское сельское поселение,961,0,961,,,
18,2014,7961542000,Республика Адыгея,Кошехабльское сельское поселение,7255,0,7255,,,
19,2014,7961542500,Республика Адыгея,Майское сельское поселение,2639,0,2639,,,
20,2014,7961543000,Республика Адыгея,Натырбовское сельское поселение,3918,0,3918,,,
21,2014,7961544500,Республика Адыгея,Ходзинское сельское поселение,2858,0,2858,,,
22,2014,7961800000,Республика Адыгея,Красногвардейский муниципальный район,31157,0,31157,,,
23,2014,7961840400,Республика Адыгея,Белосельское сельское поселение,5469,0,5469,,,
24,2014,7961840800,Республика Адыгея,Большесидоровское сельское поселение,2093,0,2093,,,
25,2014,7961841500,Республика Адыгея,Еленовское сельское поселение,3156,0,3156,,,
26,2014,7961842000,Республика Адыгея,Красногвардейское сельское поселение,10757,0,10757,,,
27,2014,7961842500,Республика Адыгея,Садовское сельское поселение,2925,0,2925,,,
28,2014,7961843000,Республика Адыгея,Уляпское сельское поселение,1739,0,1739,,,
29,2014,7961843500,Республика Адыгея,Хатукайское сельское поселение,5018,0,5018,,,
30,2014,7962200000,Республика Адыгея,Майкопский муниципальный район,59640,0,59640,,,
31,2014,7962240200,Республика Адыгея,Абадзехское сельское поселение,6545,0,6545,,,
32,2014,7962240700,Республика Адыгея,Даховское сельское поселение,2794,0,2794,,,
33,2014,7962242000,Республика Адыгея,Кировское сельское поселение,6046,0,6046,,,
34,2014,7962242500,Республика Адыгея,Краснооктябрьское сельское поселение,11048,0,11048,,,
35,2014,7962242800,Республика Адыгея,Красноульское сельское поселение,1827,0,1827,,,
